tweet	index
RT @shaniaFTP: I wanna work at Apple, Starbucks, Dutch Bros, or a salon	17
@Lanas396 I was waiting in line at target and my mom was in the Starbucks and my mom laughed	1
Lol I just saw this faggot instagram a picture of his starbucks next to his macbook.	2
I'm at Starbucks (Washington, DC) http://t.co/PorwQlux	3
I'm at Starbucks w/ @evrimozeen http://t.co/ALg3Vymi	4
I'm at Starbucks (??????) w/ 5 others http://t.co/YScY7Y1e	5
I want some Starbucks .	6
I'm at Starbucks (Setapak, Kuala Lumpur) http://t.co/ne6R1KCL	7
#starbucks #time #hot #chocolat #viennois #croque #monsieur #nice #winter #french #time #girl #i @ Starbucks http://t.co/RbBIfpaX	8
Having an 8am<<<..... Having a Starbucks ? right outside my 8am >>>>>	9
Recap of what I ate today; McDonalds McGriddle meal, fat piece of brownie & Starbucks cheesecake, a Tall Chai Tea, & a burger from BK.	10
RT @Abi_W6: Starbucks before the game tonight? I thinks so! @Mj23Jean	11
I hope what I did at Starbucks wasn't creepy	12
The girl behind me in the line at Starbucks had absolutely no concept of personal space	1
Me acabo de inscribir a My Starbucks Rewards. ?T? ya tienes tu Bebida de Bienvenida gratis? http://t.co/AWndkXrs #MyStarbucksRewards	2
1 nigga tell me say he found a gud gurl in starbucks	3
RT @_Talan1: Lol so I guess since I like Starbucks that makes me gay       Shit if you pump gas you must be bi	4
RT @Eshe_Danaee: I wish someone was down enough for me to bring me some food. Or Starbucks.	5
I'm at Starbucks (Londonderry) http://t.co/WjB5B1lO	6
@duncan_scotland up for going to Starbucks? I'll do lifts?	7
I've got a cup with your name on it waiting for you, meet me down in the lobby. | Why? Did you go get Starbucks?	8
I'm at Starbucks (Puchong, Selangor) w/ 3 others http://t.co/uvhiwXwA	9
@TokkiOwO de esa twngo un cupon canjeable que me dieron en starbucks xD	10
Missed my 1st lecture thanks to #tfl ...morning #starbucks #coffee #swpp #societies2013 #foodporn http://t.co/YRslXlIv	11
True life: I'm addicted to starbucks	12
@Yo_candygirl: Starbucks needs to be open 24 hours I swear!!!     !!!!!!!!!!	13
RT @Unicorn_Bieber: i want a Vanilla Bean with caramel from Starbucks	14
I want Starbucks or misha's.	1
�@ComedyTruth: I wish that there was a Starbucks in my house...� @alexiskasz11	2
Taking myself out on a date to Starbucks. I earned it.	3
RT @TULiiRAM: i WANT STARBUCKS! <3	4
sittin in Starbucks alone at a table and I haven't even ordered anything yet	5
@angelicaalunaa: my moms taking me and Emily to Starbucks tomorrow morning #yeeeee	6
@GooGooyoung haha. I wanna work at Starbucks at my school.	7
@Louis_Tomlinson @starbucks I love KFC and STARBUCKS	8
I think starbucks could be classed as my second home	9
RT @cantb0vered: i want to work in Starbucks so i can spell everyone�s name wrong so they can�t instagram their cups	10
RT @babyshortiee: I'm thinking Starbucks in the morning	11
I'm at Starbucks (New York, NY) http://t.co/nyTf5YGp	1
RT @THEBASEDSATAN: I need a bitch to deliver Starbucks and gimme sloppy head.	2
RT @payytonn_l: somebody take me on a Starbucks date this weekend	3
i wonder who that underground chick is in the starbucks logo #jealous	4
the only thing i ever get from starbucks is the vanilla bean frap hahah why http://t.co/ONxwJ3UM	5
@JoshDevineDrums i havent been to starbucks in ages :( luckyy. Its 2.45am here in sydney :L	6
i go out of my way to get you a Starbucks and you're twenty minutes late. Your Starbucks is cold, enjoy	7
Starbucks? I think YES	8
RT @DenverStrange: You're at Starbucks? Please post pictures of your coffee, I've never seen one before.	9
is it that all crazy people congregate at starbucks?? and always on the days that I really need to focus on studying	10
Starbucks sounds good now that I'm doing a double shift.	11
@nevaeh_lexxuss anything for u<3 I miss our starbucks dates haha :D And just got home & u?:)	1
RT @haha_whatt: you know what we have is fucking real if i get out of bed for you when i'm too sick to move #chipotle #starbucks #4ever	2
I'm at Starbucks (Mountain View, CA) http://t.co/ZvpTv2u7	3
@the_Lawson I was also very embarrassed about blasting music to the crowd in Starbucks. They were previously enjoying some soft jazz.	4
Someone bring me Starbucks please?	5
And nothing starts a morning better than a Starbucks date with my love @Schwartze2013 With our Spice Vanilla Lattes #yumyum	6
I don't understand why people carry their Starbucks after first period like you can finish it in first period you bitch	7
@miaaasaraaa @r__borden I got time and a half at Starbucks (:	8
I'm at Starbucks (Adana, T�rkiye) w/ 13 others http://t.co/CTymRqDn	9
Unexpected date. Starbucks. Coffee jelly and chocolate chip cream??? Naah. I forgo @ starbucks SM Dasmari�as http://t.co/rftEJO4O	10
I need a starbucks now !!!	11
starbucks I just voted for Directioners #musicfans #PeoplesChoice. Retweet to vote http://t.co/naKFGriZ via @peopleschoice	12
The Starbucks I actually wanted to work at wouldn't even take my resume #ThatsEncouraging	1
RT @HarrysAvenue: @Real_Liam_Payne do you love Starbucks? I love Starbucks	2
Cannot believe Jim Peterik is a regular at my starbucks! #mindblown #eyeofthetiger #lovemyyob	3
I'm at Starbucks, are you jealous @TheRealMoeJaber	4
@tdevone58 Starbucks ! Then mcalisters cuz I gotta have A sweet tea !	5
RT @DPOLL33: @princessDIB_21 @sidwalkerr u guys might as well go to Starbucks wit me n da bro	6
Aww my sister bought me a Starbucks :)	7
I miss those old times when there was Starbucks in Ely	8
