date,delay,distance,origin,destination
01142205,52,2367,SEA,MIA
01140600,-4,1442,SEA,DFW
01142320,-1,1442,SEA,DFW
01140815,-10,1495,SEA,ORD
01140710,-1,1442,SEA,DFW
01141115,5,1442,SEA,DFW
01141205,-10,1495,SEA,ORD
01140600,-8,1495,SEA,ORD
01141545,-2,1442,SEA,DFW
01141350,11,1442,SEA,DFW
01151420,18,1495,SEA,ORD
01150715,-8,2104,SEA,JFK
01150830,-2,1442,SEA,DFW
01152205,-4,2367,SEA,MIA
01150600,-8,1442,SEA,DFW
01152320,-5,1442,SEA,DFW
01150815,-16,1495,SEA,ORD
01150710,-5,1442,SEA,DFW
01151115,-5,1442,SEA,DFW
01151205,-6,1495,SEA,ORD
01150600,-10,1495,SEA,ORD
01151545,-7,1442,SEA,DFW
01151350,23,1442,SEA,DFW
01161420,7,1495,SEA,ORD
01160715,-3,2104,SEA,JFK
01160830,-2,1442,SEA,DFW
01162205,6,2367,SEA,MIA
01160600,-1,1442,SEA,DFW
01162320,8,1442,SEA,DFW
01160815,0,1495,SEA,ORD
01160710,0,1442,SEA,DFW
01161115,46,1442,SEA,DFW
01161205,582,1495,SEA,ORD
01160600,-10,1495,SEA,ORD
01161545,18,1442,SEA,DFW
01161350,1,1442,SEA,DFW
01171420,0,1495,SEA,ORD
01170715,-3,2104,SEA,JFK
01170830,5,1442,SEA,DFW
01172205,-2,2367,SEA,MIA
01170600,11,1442,SEA,DFW
01172320,38,1442,SEA,DFW
01170815,28,1495,SEA,ORD
01170710,-8,1442,SEA,DFW
01171115,39,1442,SEA,DFW
01171205,3,1495,SEA,ORD
01170600,13,1495,SEA,ORD
01171545,7,1442,SEA,DFW
01171350,1,1442,SEA,DFW
01180715,-2,2104,SEA,JFK
01180830,132,1442,SEA,DFW
01182205,-4,2367,SEA,MIA
01180600,-4,1442,SEA,DFW
01182320,-7,1442,SEA,DFW
01180815,-1,1495,SEA,ORD
01180710,-2,1442,SEA,DFW
01181115,9,1442,SEA,DFW
01181205,-3,1495,SEA,ORD
01180600,-3,1495,SEA,ORD
01181350,-2,1442,SEA,DFW
01191420,0,1495,SEA,ORD
01190715,-4,2104,SEA,JFK
01190830,9,1442,SEA,DFW
01192205,-8,2367,SEA,MIA
01190600,-9,1442,SEA,DFW
01192320,-10,1442,SEA,DFW
01190815,-3,1495,SEA,ORD
01190710,-1,1442,SEA,DFW
01191115,-10,1442,SEA,DFW
01191205,-3,1495,SEA,ORD
01190600,-10,1495,SEA,ORD
01191545,-8,1442,SEA,DFW
01191350,-1,1442,SEA,DFW
01201420,-5,1495,SEA,ORD
01200715,-6,2104,SEA,JFK
01200830,-5,1442,SEA,DFW
01202205,11,2367,SEA,MIA
01200600,-4,1442,SEA,DFW
01202320,-5,1442,SEA,DFW
01200815,-2,1495,SEA,ORD
01200710,4,1442,SEA,DFW
01201115,5,1442,SEA,DFW
01201205,-5,1495,SEA,ORD
01200600,0,1495,SEA,ORD
01201545,9,1442,SEA,DFW
01201350,9,1442,SEA,DFW
01211420,13,1495,SEA,ORD
01210715,0,2104,SEA,JFK
01210830,-8,1442,SEA,DFW
01212205,-1,2367,SEA,MIA
01210600,1,1442,SEA,DFW
01212320,-11,1442,SEA,DFW
01210815,-4,1495,SEA,ORD
01210710,-2,1442,SEA,DFW
01211115,-4,1442,SEA,DFW
01211205,11,1495,SEA,ORD
01210600,2,1495,SEA,ORD
01211545,-15,1442,SEA,DFW
01211350,36,1442,SEA,DFW
01221420,29,1495,SEA,ORD
01220715,-2,2104,SEA,JFK
01220830,-3,1442,SEA,DFW
01222205,-9,2367,SEA,MIA
01220600,-12,1442,SEA,DFW
01222320,-6,1442,SEA,DFW
01220815,-9,1495,SEA,ORD
01220710,-7,1442,SEA,DFW
01221115,10,1442,SEA,DFW
01221205,20,1495,SEA,ORD
01220600,-12,1495,SEA,ORD
01221545,4,1442,SEA,DFW
01221350,0,1442,SEA,DFW
01231420,-2,1495,SEA,ORD
01230715,-1,2104,SEA,JFK
01230830,2,1442,SEA,DFW
01232205,69,2367,SEA,MIA
01230600,-5,1442,SEA,DFW
01232320,0,1442,SEA,DFW
01230815,-6,1495,SEA,ORD
01230710,-3,1442,SEA,DFW
01231115,-4,1442,SEA,DFW
01231205,-3,1495,SEA,ORD
01230600,-7,1495,SEA,ORD
01231545,-4,1442,SEA,DFW
01231350,16,1442,SEA,DFW
01241420,0,1495,SEA,ORD
01240715,17,2104,SEA,JFK
01240830,32,1442,SEA,DFW
01242205,-10,2367,SEA,MIA
01240600,-8,1442,SEA,DFW
01242320,1,1442,SEA,DFW
01240815,7,1495,SEA,ORD
01240710,4,1442,SEA,DFW
01241115,-3,1442,SEA,DFW
01241205,174,1495,SEA,ORD
01240600,41,1495,SEA,ORD
01241545,-4,1442,SEA,DFW
01241350,8,1442,SEA,DFW
01250715,-5,2104,SEA,JFK
01250830,20,1442,SEA,DFW
01252205,-10,2367,SEA,MIA
01250600,3,1442,SEA,DFW
01252320,-7,1442,SEA,DFW
01250815,5,1495,SEA,ORD
01250710,-2,1442,SEA,DFW
01251115,-3,1442,SEA,DFW
01251205,15,1495,SEA,ORD
01250600,-6,1495,SEA,ORD
01251350,-2,1442,SEA,DFW
01261420,9,1495,SEA,ORD
01260715,14,2104,SEA,JFK
01260830,14,1442,SEA,DFW
01262205,130,2367,SEA,MIA
01260600,-3,1442,SEA,DFW
01262320,36,1442,SEA,DFW
01260815,11,1495,SEA,ORD
01260710,6,1442,SEA,DFW
01261115,15,1442,SEA,DFW
01261205,37,1495,SEA,ORD
01260600,-5,1495,SEA,ORD
01261545,-4,1442,SEA,DFW
01261350,-5,1442,SEA,DFW
01271420,0,1495,SEA,ORD
01270715,1,2104,SEA,JFK
01270830,1,1442,SEA,DFW
01272205,-3,2367,SEA,MIA
01270600,-5,1442,SEA,DFW
01272320,13,1442,SEA,DFW
01270815,-3,1495,SEA,ORD
01270710,13,1442,SEA,DFW
01271115,76,1442,SEA,DFW
01271205,-1,1495,SEA,ORD
01270600,-7,1495,SEA,ORD
01271545,21,1442,SEA,DFW
01271350,27,1442,SEA,DFW
01281420,0,1495,SEA,ORD
01280715,-7,2104,SEA,JFK
01280830,-6,1442,SEA,DFW
01282205,-7,2367,SEA,MIA
01280600,-7,1442,SEA,DFW
01282320,5,1442,SEA,DFW
01280815,-12,1495,SEA,ORD
01280710,-2,1442,SEA,DFW
01281115,12,1442,SEA,DFW
01281205,5,1495,SEA,ORD
01280600,7,1495,SEA,ORD
01281545,0,1442,SEA,DFW
01281350,115,1442,SEA,DFW
01291420,23,1495,SEA,ORD
01290715,7,2104,SEA,JFK
01290830,1,1442,SEA,DFW
01292205,22,2367,SEA,MIA
01290600,-8,1442,SEA,DFW
01292320,0,1442,SEA,DFW
01290815,-7,1495,SEA,ORD
01290710,-1,1442,SEA,DFW
01291115,15,1442,SEA,DFW
01291205,-7,1495,SEA,ORD
01290600,-6,1495,SEA,ORD
01291545,247,1442,SEA,DFW
01291350,30,1442,SEA,DFW
01301420,20,1495,SEA,ORD
01300715,-2,2104,SEA,JFK
01300830,-3,1442,SEA,DFW
01302205,-4,2367,SEA,MIA
01300600,0,1442,SEA,DFW
01302320,-9,1442,SEA,DFW
01300815,209,1495,SEA,ORD
01300710,-2,1442,SEA,DFW
01301115,11,1442,SEA,DFW
01301205,87,1495,SEA,ORD
01300600,-3,1495,SEA,ORD
01301545,-5,1442,SEA,DFW
01301350,31,1442,SEA,DFW
01311420,2,1495,SEA,ORD
01310715,-2,2104,SEA,JFK
01310830,-3,1442,SEA,DFW
01312205,20,2367,SEA,MIA
01310600,-2,1442,SEA,DFW
01312320,-1,1442,SEA,DFW
01310815,0,1495,SEA,ORD
01310710,28,1442,SEA,DFW
01311115,-3,1442,SEA,DFW
01311205,1,1495,SEA,ORD
01310600,33,1495,SEA,ORD
01311545,-8,1442,SEA,DFW
01311350,18,1442,SEA,DFW
01011410,-5,2023,SEA,DCA
01010810,0,2023,SEA,DCA
01010905,17,2087,SEA,EWR
01010935,-1,2169,SEA,BOS
01011545,-4,2087,SEA,EWR
01010800,25,2219,SEA,MCO
01011235,28,1495,SEA,ORD
01012205,-7,2169,SEA,BOS
01011805,-3,1495,SEA,ORD
01010830,-5,1495,SEA,ORD
01010845,0,2067,SEA,PHL
01010840,36,2361,SEA,FLL
01010655,-7,1216,SEA,MSP
01011300,3,1216,SEA,MSP
01010755,0,790,SEA,JNU
01010705,52,591,SEA,KTN
01011455,-3,591,SEA,KTN
01011840,7,591,SEA,KTN
01011120,-1,790,SEA,JNU
01010600,-3,1259,SEA,ANC
01010800,17,1259,SEA,ANC
01011535,5,1259,SEA,ANC
01012300,6,1259,SEA,ANC
01011815,4,1259,SEA,ANC
01012015,3,1259,SEA,ANC
01011245,-3,1259,SEA,ANC
01012200,17,1259,SEA,ANC
01012350,44,1259,SEA,ANC
01011325,-4,1332,SEA,FAI
01012305,-5,1332,SEA,FAI
01011035,10,1259,SEA,ANC
01011955,3,1332,SEA,FAI
01010600,-2,605,SEA,SJC
01010710,31,590,SEA,SFO
01012030,-4,605,SEA,SJC
01010955,-3,913,SEA,SAN
01010725,14,913,SEA,SAN
01012125,-4,590,SEA,SFO
01011840,-5,590,SEA,SFO
01010610,-4,590,SEA,SFO
01011230,-2,590,SEA,SFO
01010955,-6,590,SEA,SFO
01011100,2,590,SEA,SFO
01011405,0,590,SEA,SFO
01011215,-6,605,SEA,SJC
01011855,-3,605,SEA,SJC
01010710,-1,605,SEA,SJC
01011600,26,583,SEA,OAK
01010605,-2,583,SEA,OAK
01011000,1,583,SEA,OAK
01012130,2,583,SEA,OAK
01011350,-3,526,SEA,SMF
01012140,136,526,SEA,SMF
01011855,-5,526,SEA,SMF
01010610,-10,829,SEA,LAX
01012140,-4,829,SEA,LAX
01011425,13,829,SEA,LAX
01010900,68,829,SEA,LAX
01011045,52,829,SEA,LAX
01011825,0,829,SEA,LAX
01011635,4,829,SEA,LAX
01010650,-3,829,SEA,LAX
01012040,10,829,SEA,LAX
01011940,-6,829,SEA,LAX
01010715,0,829,SEA,LAX
01011845,-4,913,SEA,SAN
01011210,-7,913,SEA,SAN
01011410,29,913,SEA,SAN
01012105,13,913,SEA,SAN
01010615,2,913,SEA,SAN
01011140,-5,850,SEA,SNA
01010835,-1,850,SEA,SNA
01011845,-4,850,SEA,SNA
01011725,31,850,SEA,SNA
01011425,-3,850,SEA,SNA
01011945,-6,850,SEA,SNA
01011935,-5,814,SEA,BUR
01010755,-6,814,SEA,BUR
01010615,-1,850,SEA,SNA
01011505,-7,814,SEA,BUR
01010730,-2,831,SEA,ONT
01011355,-4,831,SEA,ONT
01012050,83,831,SEA,ONT
01011300,-1,858,SEA,PSP
01010640,-1,858,SEA,PSP
01010910,13,858,SEA,PSP
01010810,-1,753,SEA,LAS
01010705,-4,753,SEA,LAS
01011430,-1,753,SEA,LAS
01011235,-2,753,SEA,LAS
01010900,59,753,SEA,LAS
01011850,32,753,SEA,LAS
01012115,-5,753,SEA,LAS
01011855,-5,962,SEA,PHX
01012020,-10,962,SEA,PHX
01010720,-3,962,SEA,PHX
01010945,7,962,SEA,PHX
01011225,-2,1057,SEA,TUS
01011410,14,962,SEA,PHX
01011145,-1,1538,SEA,AUS
01012350,7,1442,SEA,DFW
01011305,-3,1442,SEA,DFW
01010640,-1,1442,SEA,DFW
01011405,-5,890,SEA,DEN
01011930,0,890,SEA,DEN
01011205,45,194,SEA,GEG
01010955,-2,890,SEA,DEN
01010650,-3,890,SEA,DEN
01011240,-5,1542,SEA,SAT
01012000,-3,194,SEA,GEG
01012300,6,194,SEA,GEG
01011320,0,598,SEA,SLC
01010700,6,598,SEA,SLC
01011020,14,1628,SEA,IAH
01012130,8,1259,SEA,ANC
01010805,-3,1896,SEA,ATL
01011155,-2,1485,SEA,STL
01011030,60,1294,SEA,MCI
01010715,164,526,SEA,SMF
01011015,-1,2336,SEA,KOA
01011035,2,2326,SEA,HNL
01011820,-6,2326,SEA,HNL
01010830,-1,2294,SEA,OGG
01011640,1,2294,SEA,OGG
01010850,7,2347,SEA,LIH
01011740,3,2336,SEA,KOA
01011700,0,2326,SEA,HNL
01021410,-5,2023,SEA,DCA
01020810,-2,2023,SEA,DCA
01020905,-4,2087,SEA,EWR
01020935,-2,2169,SEA,BOS
01021545,0,2087,SEA,EWR
01020800,-3,2219,SEA,MCO
01021235,113,1495,SEA,ORD
01022205,0,2169,SEA,BOS
01021805,-6,1495,SEA,ORD
01020830,151,1495,SEA,ORD
01020845,-4,2067,SEA,PHL
01020840,-6,2361,SEA,FLL
01020655,0,1216,SEA,MSP
01021300,-9,1216,SEA,MSP
01020755,-5,790,SEA,JNU
01020705,0,591,SEA,KTN
01021455,20,591,SEA,KTN
01021840,3,591,SEA,KTN
01021120,3,790,SEA,JNU
01020600,-5,1259,SEA,ANC
01020800,-2,1259,SEA,ANC
01021535,8,1259,SEA,ANC
01022300,-4,1259,SEA,ANC
01021815,-3,1259,SEA,ANC
01022015,-7,1259,SEA,ANC
01021245,11,1259,SEA,ANC
01022200,-1,1259,SEA,ANC
01022350,-4,1259,SEA,ANC
01021325,9,1332,SEA,FAI
01022305,10,1332,SEA,FAI
01021035,-1,1259,SEA,ANC
01021955,-3,1332,SEA,FAI
01020600,2,605,SEA,SJC
01020710,-1,590,SEA,SFO
01022030,-3,605,SEA,SJC
01020955,-3,913,SEA,SAN
01020725,-5,913,SEA,SAN
01022125,-4,590,SEA,SFO
01021840,-5,590,SEA,SFO
01020610,3,590,SEA,SFO
01021230,-2,590,SEA,SFO
01020955,-7,590,SEA,SFO
01021100,-1,590,SEA,SFO
01021405,-4,590,SEA,SFO
01021600,-2,605,SEA,SJC
01021215,-9,605,SEA,SJC
01021855,-1,605,SEA,SJC
01020710,-9,605,SEA,SJC
01021600,4,583,SEA,OAK
01020605,-6,583,SEA,OAK
01021000,1,583,SEA,OAK
01022130,-5,583,SEA,OAK
01021350,0,526,SEA,SMF
01022140,-7,526,SEA,SMF
01021855,-6,526,SEA,SMF
01020610,-4,829,SEA,LAX
01022140,0,829,SEA,LAX
01021425,-3,829,SEA,LAX
01020900,8,829,SEA,LAX
01021045,-1,829,SEA,LAX
01021825,-1,829,SEA,LAX
01021635,-3,829,SEA,LAX
01020650,-7,829,SEA,LAX
01022040,0,829,SEA,LAX
01021940,-2,829,SEA,LAX
01020715,0,829,SEA,LAX
01021845,-9,913,SEA,SAN
01021210,-10,913,SEA,SAN
01021410,-2,913,SEA,SAN
01022105,-5,913,SEA,SAN
01020615,-6,913,SEA,SAN
01021055,-7,913,SEA,SAN
01021140,-6,850,SEA,SNA
01020835,-6,850,SEA,SNA
01021845,-1,850,SEA,SNA
01021725,-11,850,SEA,SNA
01021425,-6,850,SEA,SNA
01021945,-4,850,SEA,SNA
01021935,-8,814,SEA,BUR
01020755,-9,814,SEA,BUR
01020615,-2,850,SEA,SNA
01021505,-8,814,SEA,BUR
01020730,-6,831,SEA,ONT
01021355,-6,831,SEA,ONT
01022050,-3,831,SEA,ONT
01021300,-4,858,SEA,PSP
01020640,-3,858,SEA,PSP
01020910,-8,858,SEA,PSP
01020810,-4,753,SEA,LAS
01020600,-8,753,SEA,LAS
01020705,0,753,SEA,LAS
01021430,-6,753,SEA,LAS
01021235,-2,753,SEA,LAS
01020900,-3,753,SEA,LAS
01021850,-6,753,SEA,LAS
01022115,-4,753,SEA,LAS
01021855,-6,962,SEA,PHX
01022020,-14,962,SEA,PHX
01020720,-1,962,SEA,PHX
01020945,-3,962,SEA,PHX
01021225,-7,1057,SEA,TUS
01021410,-8,962,SEA,PHX
01021145,10,1538,SEA,AUS
01022350,-9,1442,SEA,DFW
01021305,-1,1442,SEA,DFW
01020640,-6,1442,SEA,DFW
01021405,-8,890,SEA,DEN
01021930,-5,890,SEA,DEN
01021205,-5,194,SEA,GEG
01020955,5,890,SEA,DEN
01020650,-1,890,SEA,DEN
01021240,-2,1542,SEA,SAT
01022000,-7,194,SEA,GEG
01022300,-2,194,SEA,GEG
01021320,0,598,SEA,SLC
01020700,-1,598,SEA,SLC
01021020,-3,1628,SEA,IAH
01022130,-4,1259,SEA,ANC
01020805,-3,1896,SEA,ATL
01021155,-2,1485,SEA,STL
01021030,-5,1294,SEA,MCI
01020715,-3,526,SEA,SMF
01021740,-2,2347,SEA,LIH
01021015,2,2336,SEA,KOA
01021035,-6,2326,SEA,HNL
01021820,-5,2326,SEA,HNL
01020830,-6,2294,SEA,OGG
01021640,-2,2294,SEA,OGG
01020850,-3,2347,SEA,LIH
01021700,-2,2326,SEA,HNL
01031410,50,2023,SEA,DCA
01030810,-5,2023,SEA,DCA
01030905,1,2087,SEA,EWR
01032150,20,2219,SEA,MCO
01030935,91,2169,SEA,BOS
01031545,3,2087,SEA,EWR
01030800,-3,2219,SEA,MCO
01031235,33,1495,SEA,ORD
01032205,8,2169,SEA,BOS
01031805,-1,1495,SEA,ORD
01030830,-8,1495,SEA,ORD
01030845,342,2067,SEA,PHL
01030840,-1,2361,SEA,FLL
01030655,-4,1216,SEA,MSP
01031300,1,1216,SEA,MSP
01030755,5,790,SEA,JNU
01030705,0,591,SEA,KTN
01031455,-3,591,SEA,KTN
01031840,2,591,SEA,KTN
01031120,-2,790,SEA,JNU
01030600,-3,1259,SEA,ANC
01030800,-1,1259,SEA,ANC
01031625,2,1259,SEA,ANC
01031535,-1,1259,SEA,ANC
01032300,38,1259,SEA,ANC
01031815,-3,1259,SEA,ANC
01032015,50,1259,SEA,ANC
01031245,5,1259,SEA,ANC
01032350,6,1259,SEA,ANC
01031325,3,1332,SEA,FAI
01032305,21,1332,SEA,FAI
01031035,20,1259,SEA,ANC
01031955,5,1332,SEA,FAI
01030600,-5,605,SEA,SJC
01030710,-13,590,SEA,SFO
01032030,-1,605,SEA,SJC
01030955,-4,913,SEA,SAN
01030725,-3,913,SEA,SAN
01032125,-3,590,SEA,SFO
01031840,-1,590,SEA,SFO
01030610,-5,590,SEA,SFO
01031230,-5,590,SEA,SFO
01030955,0,590,SEA,SFO
01031100,24,590,SEA,SFO
01031405,-6,590,SEA,SFO
01031600,-7,605,SEA,SJC
01031215,-3,605,SEA,SJC
01031855,-1,605,SEA,SJC
01030710,-5,605,SEA,SJC
01031600,-6,583,SEA,OAK
01030605,-7,583,SEA,OAK
01031000,-3,583,SEA,OAK
01032130,-6,583,SEA,OAK
01031350,-2,526,SEA,SMF
01032140,17,526,SEA,SMF
01031855,-4,526,SEA,SMF
01030610,-5,829,SEA,LAX
01032140,-2,829,SEA,LAX
01031425,0,829,SEA,LAX
01030900,-1,829,SEA,LAX
01031045,-4,829,SEA,LAX
01031825,0,829,SEA,LAX
01031635,-1,829,SEA,LAX
01030650,23,829,SEA,LAX
01032040,-4,829,SEA,LAX
01031940,-4,829,SEA,LAX
01030715,-5,829,SEA,LAX
01031845,-7,913,SEA,SAN
01031210,-7,913,SEA,SAN
01032105,9,913,SEA,SAN
01030615,-6,913,SEA,SAN
01031055,-2,913,SEA,SAN
01031140,-5,850,SEA,SNA
01030835,-1,850,SEA,SNA
01031845,-11,850,SEA,SNA
01031725,-1,850,SEA,SNA
01031425,-6,850,SEA,SNA
01031945,-5,850,SEA,SNA
01031935,-6,814,SEA,BUR
01030755,4,814,SEA,BUR
01030615,-6,850,SEA,SNA
01031505,-6,814,SEA,BUR
01030730,-4,831,SEA,ONT
01031355,-9,831,SEA,ONT
01032050,-4,831,SEA,ONT
01031300,-5,858,SEA,PSP
01030640,-9,858,SEA,PSP
01030910,-8,858,SEA,PSP
01030810,-6,753,SEA,LAS
01030600,-6,753,SEA,LAS
01030705,-2,753,SEA,LAS
01031430,-8,753,SEA,LAS
01031235,4,753,SEA,LAS
01030900,-3,753,SEA,LAS
01031850,-8,753,SEA,LAS
01032115,196,753,SEA,LAS
01031855,-5,962,SEA,PHX
01032020,26,962,SEA,PHX
01030720,-12,962,SEA,PHX
01030945,-5,962,SEA,PHX
01031225,10,1057,SEA,TUS
01031410,3,962,SEA,PHX
01031145,29,1538,SEA,AUS
01032350,-2,1442,SEA,DFW
01031305,0,1442,SEA,DFW
01030640,-2,1442,SEA,DFW
01031405,0,890,SEA,DEN
01031930,0,890,SEA,DEN
01031205,-1,194,SEA,GEG
01030955,-5,890,SEA,DEN
01030650,-6,890,SEA,DEN
01031240,20,1542,SEA,SAT
01032000,4,194,SEA,GEG
01032300,-4,194,SEA,GEG
01031320,35,598,SEA,SLC
01030700,18,598,SEA,SLC
01031020,-4,1628,SEA,IAH
01032130,12,1259,SEA,ANC
01030805,-2,1896,SEA,ATL
01031155,-5,1485,SEA,STL
01031030,1,1294,SEA,MCI
01030715,-1,526,SEA,SMF
01031015,6,2336,SEA,KOA
01031035,-2,2326,SEA,HNL
01031820,9,2326,SEA,HNL
01030830,-8,2294,SEA,OGG
01031640,-4,2294,SEA,OGG
01030850,-2,2347,SEA,LIH
01031740,-6,2336,SEA,KOA
01031700,0,2326,SEA,HNL
01032140,35,1259,SEA,ANC
01041410,-3,2023,SEA,DCA
01040810,-2,2023,SEA,DCA
01040905,2,2087,SEA,EWR
01042150,2,2219,SEA,MCO
01040935,17,2169,SEA,BOS
01041545,-1,2087,SEA,EWR
01040800,90,2219,SEA,MCO
01042205,-5,2169,SEA,BOS
01041805,79,1495,SEA,ORD
01040830,98,1495,SEA,ORD
01040845,4,2067,SEA,PHL
01040840,46,2361,SEA,FLL
01040655,2,1216,SEA,MSP
01041300,1,1216,SEA,MSP
01040755,9,790,SEA,JNU
01040705,2,591,SEA,KTN
01041455,-1,591,SEA,KTN
01041840,21,591,SEA,KTN
01041120,14,790,SEA,JNU
01040600,-3,1259,SEA,ANC
01040800,1,1259,SEA,ANC
01041625,12,1259,SEA,ANC
01042300,2,1259,SEA,ANC
01041815,-6,1259,SEA,ANC
01042015,9,1259,SEA,ANC
01041245,8,1259,SEA,ANC
01042200,28,1259,SEA,ANC
01042350,43,1259,SEA,ANC
